OPTIONS:194,True,False,Meters
HOME:34.204704,-118.490295,151
34.216061,-118.540421,492
34.211234,-118.540764,492
34.207827,-118.541451,492
34.201865,-118.539734,492
34.195901,-118.536301,492
34.18937,-118.529434,492
34.186246,-118.526001,492
34.18369,-118.518105,492
34.181986,-118.510551,492
34.181418,-118.500252,492
34.182554,-118.486176,492
34.18369,-118.477592,495
34.18795,-118.468323,492
34.195333,-118.455963,492
34.205556,-118.452187,492
34.219751,-118.455276,492
34.232809,-118.458023,495
34.237351,-118.467636,492
34.240757,-118.477936,492
34.243595,-118.490639,492
34.243879,-118.498192,492
34.244162,-118.511925,492
34.245298,-118.517761,492
34.242743,-118.522568,495
34.241892,-118.528061,495
