HOME:41.879483,-87.624335,50
41.879691,-87.626953,50
41.880010,-87.629571,50
41.880905,-87.631116,50
41.882406,-87.631674,50
41.883812,-87.631760,50
41.886017,-87.631373,50
41.886880,-87.630000,50
41.886975,-87.628241,50
41.887423,-87.626481,50
41.888094,-87.625194,50
41.888157,-87.623177,50
41.887902,-87.621245,50
41.887774,-87.619572,50
41.887742,-87.617555,50
41.887518,-87.615838,50
41.887518,-87.614465,50
41.887007,-87.613950,50
41.885570,-87.613907,50
41.884675,-87.614164,50
41.883589,-87.614980,50
41.882406,-87.617040,50
41.881384,-87.617469,50
41.880713,-87.617598,50
41.879659,-87.617469,50
41.879020,-87.619314,50
41.884355,-87.623219,50
